,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g)
3982,BEEF,46.87,365,22.6,29.79,0.98,0.0,0.0,0.0
3983,BEEF,57.48,288,16.75,23.95,0.79,0.0,0.0,
3984,BEEF,50.41,315,22.73,24.2,1.05,0.0,0.0,
3985,BEEF,49.9,330,23.1,25.63,1.0,0.0,0.0,
3986,BEEF,51.51,355,16.15,31.66,0.76,0.0,0.0,
3987,BEEF,44.87,386,21.95,32.38,0.96,0.0,0.0,
3988,BEEF,43.4,400,22.57,33.7,0.91,0.0,0.0,
3989,BEEF,54.51,316,16.26,27.29,0.76,0.0,0.0,
3990,BEEF,48.74,338,21.55,27.22,1.04,0.0,0.0,
3991,BEEF,47.73,355,23.01,28.51,0.91,0.0,0.0,0.0
3992,BEEF,53.0,333,16.03,29.34,0.75,0.0,0.0,
3993,BEEF,45.96,370,20.86,31.18,1.0,0.0,0.0,
3994,BEEF,45.9,378,22.5,31.28,0.89,0.0,0.0,
3995,BEEF,56.35,295,16.52,24.85,0.77,0.0,0.0,
3996,BEEF,50.25,324,21.55,25.71,1.04,0.0,0.0,
3997,BEEF,49.4,333,23.4,25.84,0.93,0.0,0.0,
3998,BEEF,50.4,367,15.77,33.26,0.73,0.0,0.0,
3999,BEEF,43.48,404,20.65,34.97,0.9,0.0,0.0,
4000,BEEF,44.49,393,22.86,32.74,0.91,0.0,0.0,
4001,BEEF,61.05,254,19.33,19.06,0.9,0.0,0.0,0.0
4002,BEEF,53.65,291,25.85,20.04,1.05,0.0,0.0,0.0
4003,BEEF,48.97,341,22.54,27.14,1.11,0.0,0.0,
4004,BEEF,60.11,263,19.09,20.13,0.9,0.0,0.0,0.0
4005,BEEF,52.93,304,24.53,22.09,1.04,0.0,0.0,0.0
4006,BEEF,47.18,359,22.28,29.21,1.09,0.0,0.0,
4007,BEEF,62.0,246,19.56,18.0,0.89,0.0,0.0,0.0
4008,BEEF,54.36,278,27.17,18.0,1.06,0.0,0.0,0.0
4009,BEEF,50.84,323,22.76,25.02,1.12,0.0,0.0,
4010,BEEF,53.22,335,16.74,29.18,0.8,0.0,0.0,
4011,BEEF,47.36,354,24.13,27.86,1.05,0.0,0.0,
4012,BEEF,41.82,411,22.15,35.12,0.91,0.0,0.0,
4013,BEEF,62.15,194,27.7,9.29,1.25,0.0,0.0,0.0
4014,BEEF,71.89,146,20.16,7.25,1.09,0.0,0.0,0.0
4015,BEEF,65.44,195,20.56,11.92,0.98,0.0,0.0,0.0
4016,BEEF,56.73,235,27.54,12.98,1.32,0.0,0.0,0.0
4017,BEEF,66.62,184,20.56,10.68,0.98,0.0,0.0,0.0
4018,BEEF,58.49,218,27.58,11.08,1.33,0.0,0.0,0.0
4019,BEEF,66.88,192,20.7,11.54,1.01,0.0,0.0,0.0
4020,BEEF,54.97,247,32.76,11.87,0.98,0.0,0.0,0.0
4021,BEEF,61.6,218,26.41,11.64,1.05,0.0,0.0,0.0
4022,BEEF,66.32,198,20.71,12.15,1.02,0.0,0.0,0.0
4023,BEEF,54.27,254,32.85,12.56,0.95,0.0,0.0,0.0
4024,BEEF,61.09,223,26.05,12.44,1.01,0.0,0.0,0.0
4025,BEEF,67.44,187,20.68,10.93,0.99,0.0,0.0,0.0
4026,BEEF,55.67,240,32.67,11.19,1.01,0.0,0.0,0.0
4027,BEEF,62.1,212,26.77,10.85,1.08,0.0,0.0,0.0
4028,BEEF,69.31,166,21.49,8.24,1.01,0.0,0.0,0.0
4029,BEEF,61.97,208,28.31,9.65,1.1,0.0,0.0,0.0
4030,BEEF,68.57,173,21.68,8.91,1.03,0.0,0.0,0.0
4031,BEEF,61.36,212,28.48,10.05,1.06,0.0,0.0,0.0
4032,BEEF,70.06,159,21.3,7.57,0.99,0.0,0.0,0.0
4033,BEEF,62.58,204,28.13,9.26,1.13,0.0,0.0,0.0
4034,BEEF,66.1,189,19.6,11.67,0.95,0.0,0.0,
4035,BEEF,61.56,219,27.45,11.34,1.13,0.0,0.0,0.0
4036,BEEF,65.43,199,19.48,12.83,0.94,0.0,0.0,0.0
4037,BEEF,60.92,228,27.27,12.34,1.12,0.0,0.0,0.0
4038,BEEF,66.86,178,19.74,10.39,0.96,0.0,0.0,0.0
4039,BEEF,62.31,210,27.63,10.24,1.14,0.0,0.0,0.0
4040,BEEF,71.12,152,20.07,7.94,0.99,0.0,0.0,0.0
4041,BEEF,54.18,228,33.93,8.33,1.53,2.03,0.0,0.0
4042,BEEF,69.04,166,22.06,7.93,1.1,0.0,0.0,0.0
4043,BEEF,54.68,238,34.34,10.13,1.66,0.0,0.0,0.0
4044,BEEF,59.59,204,30.67,9.0,1.16,0.0,0.0,0.0
4045,BEEF,68.8,168,21.94,8.19,1.11,0.0,0.0,0.0
4046,BEEF,53.83,250,34.09,11.61,1.65,0.0,0.0,0.0
4047,BEEF,58.46,224,30.7,10.27,1.18,0.0,0.0,0.0
4048,BEEF,52.36,266,32.99,13.83,1.45,0.0,0.0,0.0
4049,BEEF,69.29,164,22.18,7.68,1.08,0.0,0.0,0.0
4050,BEEF,55.63,225,34.6,8.54,1.67,0.0,0.0,0.0
4051,BEEF,60.72,201,30.63,7.73,1.14,0.0,0.0,0.0
4052,BEEF,68.73,173,22.24,8.67,1.07,0.0,0.0,0.0
4053,BEEF,59.51,225,31.27,10.1,1.36,0.0,0.0,0.0
4054,BEEF,73.04,137,20.28,6.21,1.24,0.0,0.0,0.0
4055,BEEF,69.89,165,20.32,9.29,0.98,0.0,0.0,0.0
4056,BEEF,64.12,218,20.36,14.58,0.93,0.0,0.0,0.0
4057,BEEF,54.76,284,24.85,19.78,0.95,0.0,0.0,0.0
4058,BEEF,63.43,228,20.0,15.83,0.91,0.0,0.0,0.0
4059,BEEF,53.91,294,24.21,21.13,0.94,0.0,0.0,0.0
4060,BEEF,63.43,228,20.61,15.49,0.9,0.0,0.0,0.0
4061,BEEF,56.48,264,26.44,16.78,1.03,0.0,0.0,0.0
4062,BEEF,61.49,237,19.32,17.1,0.79,0.0,0.0,0.0
4063,BEEF,54.99,278,26.16,18.45,1.02,0.0,0.0,0.0
4064,BEEF,63.95,224,20.59,15.04,0.87,0.0,0.0,0.0
4065,BEEF,57.96,250,26.72,15.11,1.04,0.0,0.0,0.0
4066,BEEF,58.42,281,19.0,22.17,0.77,0.0,0.0,0.0
4067,BEEF,51.34,310,25.92,22.12,1.06,0.0,0.0,0.0
4068,BEEF,61.52,247,19.61,18.16,0.92,0.0,0.0,0.0
4069,BEEF,56.04,267,26.46,17.12,1.06,0.0,0.0,0.0
4070,BEEF,48.37,324,23.9,24.6,1.18,0.0,0.0,0.0
4071,BEEF,61.69,246,19.82,17.88,0.94,0.0,0.0,0.0
4072,BEEF,55.53,273,26.43,17.78,1.01,0.0,0.0,0.0
4073,BEEF,47.99,331,23.9,25.39,1.18,0.0,0.0,0.0
4074,BEEF,61.33,249,19.37,18.46,0.9,0.0,0.0,0.0
4075,BEEF,56.5,262,26.48,16.53,1.09,0.0,0.0,0.0
4076,BEEF,48.86,316,23.9,23.7,1.18,0.0,0.0,0.0
4077,BEEF,59.52,274,18.15,21.83,0.88,0.0,0.0,0.0
4078,BEEF,51.84,308,25.26,22.21,1.16,0.0,0.0,0.0
4079,BEEF,48.28,343,24.04,26.67,1.01,0.0,0.0,0.0
4080,BEEF,66.09,201,20.3,12.71,1.03,0.0,0.0,0.0
4081,BEEF,58.36,243,26.96,14.23,1.11,0.0,0.0,0.0
4082,BEEF,64.87,214,19.92,14.28,0.97,0.0,0.0,0.0
4083,BEEF,56.81,257,26.8,15.75,1.1,0.0,0.0,0.0
4084,BEEF,49.56,313,28.77,21.06,1.28,0.0,0.0,0.0
4085,BEEF,67.32,189,20.68,11.13,1.08,0.0,0.0,0.0
4086,BEEF,59.92,230,27.12,12.71,1.11,0.0,0.0,0.0
4087,BEEF,64.39,171,25.95,6.69,1.13,0.0,0.0,0.0
4088,BEEF,64.21,172,28.09,5.82,1.3,0.0,0.0,0.0
4090,BEEF,65.24,169,28.71,5.17,1.25,0.0,0.0,0.0
4091,BEEF,64.17,192,27.66,8.23,1.09,0.0,0.0,0.0
4092,BEEF,65.01,183,27.78,7.15,1.13,0.0,0.0,0.0
4093,BEEF,59.38,205,33.59,6.77,0.98,0.0,0.0,0.0
4094,BEEF,59.16,234,27.95,12.71,1.12,0.0,0.0,0.0
4095,BEEF,57.52,249,27.27,14.74,1.1,0.0,0.0,0.0
4097,BEEF,70.08,165,20.64,8.55,1.03,0.0,0.0,0.0
4098,BEEF,61.82,221,25.66,12.36,1.03,0.0,0.0,0.0
4099,BEEF,69.37,174,20.64,9.51,1.0,0.0,0.0,0.0
4100,BEEF,63.45,201,26.44,9.78,1.06,0.0,0.0,0.0
4101,BEEF,70.73,157,20.64,7.68,1.06,0.0,0.0,0.0
4102,BEEF,64.68,167,29.96,4.28,1.24,0.0,0.0,0.0
4103,BEEF,65.59,161,25.74,5.69,1.5,0.0,0.0,0.0
4104,BEEF,67.26,157,26.13,5.02,1.15,0.0,0.0,0.0
4105,BEEF,61.63,217,26.11,11.65,1.03,0.0,0.0,0.0
4106,BEEF,64.32,184,26.16,8.0,1.21,0.0,0.0,0.0
4107,BEEF,64.09,170,30.12,4.62,1.21,0.0,0.0,0.0
4108,BEEF,65.58,162,29.7,3.85,1.25,0.0,0.0,0.0
4109,BEEF,70.73,155,21.22,7.17,1.0,0.0,0.0,0.0
4110,BEEF,71.99,145,21.22,6.06,0.98,0.0,0.0,0.0
4111,BEEF,72.48,137,20.61,6.01,1.03,0.0,0.0,0.0
4112,BEEF,72.16,139,20.67,6.21,1.05,0.0,0.0,0.0
4113,BEEF,72.96,133,20.52,5.71,1.01,0.0,0.0,0.0
4114,BEEF,69.47,169,20.15,9.86,0.96,0.0,0.0,0.0
4115,BEEF,61.77,205,26.66,10.06,1.09,0.0,0.0,0.0
4116,BEEF,59.17,233,24.18,14.37,0.95,0.0,0.0,0.0
4117,BEEF,55.94,250,28.84,14.95,0.9,0.0,0.0,0.0
4118,BEEF,58.71,224,28.79,12.08,0.93,0.0,0.0,0.0
4119,BEEF,57.05,240,28.82,13.8,0.91,0.0,0.0,0.0
4120,BEEF,70.52,158,20.57,8.45,1.01,0.0,0.0,0.0
6050,BEEF,23.36,410,33.2,25.6,6.8,11.0,1.8,9.0
7022,BEEF,73.0,113,5.89,1.96,1.15,17.99,1.4,3.8
7025,BEEF,58.05,220,7.25,11.39,1.26,22.05,0.8,
7034,BEEF,80.78,99,4.41,5.53,1.43,7.85,0.9,1.76
7036,BEEF,70.32,164,8.73,10.24,1.5,9.27,1.1,0.34
7111,BEEF,72.58,130,21.39,4.97,1.13,0.0,0.0,0.0
7112,BEEF,64.67,214,20.49,14.06,0.94,0.0,0.0,0.0
7113,BEEF,55.6,276,25.4,18.57,0.98,0.0,0.0,0.0
7114,BEEF,65.49,208,20.69,13.27,0.95,0.0,0.0,0.0
7115,BEEF,56.87,263,26.21,16.75,1.03,0.0,0.0,0.0
7116,BEEF,64.06,223,20.11,15.18,0.92,0.0,0.0,0.0
7117,BEEF,54.5,289,24.6,20.36,0.96,0.0,0.0,0.0
7118,BEEF,65.0,215,20.28,14.19,0.92,0.0,0.0,0.0
7119,BEEF,55.38,281,25.18,19.22,0.99,0.0,0.0,0.0
7120,BEEF,73.0,133,21.41,4.66,1.05,0.0,0.0,0.0
7122,BEEF,73.52,124,21.96,3.24,1.12,0.0,0.0,0.0
7127,BEEF,72.49,143,20.39,6.12,0.91,0.0,0.0,0.0
7135,BEEF,72.05,150,20.74,6.85,0.96,0.0,0.0,0.0
7137,BEEF,72.72,137,20.98,5.21,0.92,0.0,0.0,0.0
7141,BEEF,73.28,129,22.15,3.83,1.06,0.0,0.0,0.0
7142,BEEF,65.76,166,28.01,5.17,1.2,0.0,0.0,0.0
7145,BEEF,73.25,129,21.69,4.0,1.09,0.0,0.0,0.0
7148,BEEF,64.88,182,26.3,7.66,1.04,0.0,0.0,0.0
7149,BEEF,70.46,176,18.99,10.52,0.9,0.0,0.0,0.0
7151,BEEF,72.45,143,20.93,5.89,0.96,0.0,0.0,0.0
7156,BEEF,68.73,175,19.38,10.7,0.9,0.29,0.0,0.0
7157,BEEF,70.24,161,20.14,8.99,0.93,0.0,0.0,0.0
7158,BEEF,69.33,169,19.68,10.02,0.91,0.05,0.0,0.0
7159,BEEF,56.64,234,30.95,12.22,1.06,0.0,0.0,0.0
7160,BEEF,57.54,221,32.1,10.24,1.12,0.0,0.0,0.0
7162,BEEF,70.58,152,20.87,7.67,0.94,0.0,0.0,0.0
7163,BEEF,72.11,137,21.1,5.89,0.99,0.0,0.0,0.0
7164,BEEF,71.19,146,20.96,6.95,0.96,0.0,0.0,0.0
7165,BEEF,60.35,215,27.97,11.47,1.03,0.0,0.0,0.0
7166,BEEF,61.45,199,27.88,9.77,1.03,0.0,0.0,0.0
7167,BEEF,60.79,209,27.94,10.79,1.03,0.0,0.0,0.0
7168,BEEF,69.48,160,21.31,8.29,0.92,0.0,0.0,0.0
7169,BEEF,71.41,143,21.28,6.47,0.98,0.0,0.0,0.0
7170,BEEF,70.25,153,21.29,7.56,0.94,0.0,0.0,0.0
7171,BEEF,60.05,200,31.32,8.3,1.42,0.0,0.0,0.0
7172,BEEF,60.96,190,31.71,7.02,1.38,0.0,0.0,0.0
7173,BEEF,60.41,196,31.48,7.78,1.4,0.0,0.0,0.0
7174,BEEF,59.17,197,33.55,6.94,1.62,0.0,0.0,0.0
7175,BEEF,60.8,181,32.96,5.44,1.69,0.0,0.0,0.0
7176,BEEF,59.82,190,33.31,6.34,1.65,0.0,0.0,0.0
7177,BEEF,73.2,127,21.36,4.6,1.25,0.0,0.0,0.0
7178,BEEF,74.46,117,21.22,3.53,1.12,0.0,0.0,0.0
7179,BEEF,73.71,123,21.3,4.17,1.19,0.0,0.0,0.0
7180,BEEF,60.08,191,32.41,6.82,1.26,0.0,0.0,0.0
7181,BEEF,60.97,186,32.29,6.34,1.18,0.0,0.0,0.0
7182,BEEF,59.49,194,32.49,7.14,1.31,0.0,0.0,0.0
7183,BEEF,72.51,128,21.75,4.48,1.11,0.16,0.0,0.0
7184,BEEF,72.79,124,21.9,3.99,1.12,0.21,0.0,0.0
7185,BEEF,72.32,130,21.64,4.81,1.11,0.12,0.0,0.0
7186,BEEF,57.56,222,30.91,10.91,1.56,0.0,0.0,0.0
7187,BEEF,58.92,215,32.01,9.66,1.2,0.0,0.0,0.0
7188,BEEF,58.11,219,31.35,10.41,1.42,0.0,0.0,0.0
7189,BEEF,52.51,291,26.7,20.49,1.22,0.0,0.0,0.0
7190,BEEF,61.36,207,27.97,10.57,1.02,0.0,0.0,0.0
7191,BEEF,57.57,240,27.18,14.55,1.02,0.0,0.0,0.0
7192,BEEF,66.7,196,19.17,13.26,0.98,0.0,0.0,0.0
7193,BEEF,66.0,202,19.15,13.93,0.98,0.0,0.0,0.0
7194,BEEF,67.76,187,19.2,12.27,0.98,0.0,0.0,0.0
7195,BEEF,59.08,227,26.18,13.54,0.99,0.21,0.0,0.0
7196,BEEF,58.12,236,26.1,14.41,0.98,0.4,0.0,0.0
7197,BEEF,60.52,215,26.3,12.25,1.01,0.0,0.0,0.0
7198,BEEF,68.11,182,18.99,11.64,0.9,0.36,0.0,0.0
7199,BEEF,67.31,189,18.85,12.4,0.9,0.53,0.0,0.0
7200,BEEF,69.3,172,19.2,10.5,0.91,0.09,0.0,0.0
7201,BEEF,72.3,133,21.17,5.33,1.13,0.07,0.0,0.0
7202,BEEF,73.01,127,21.72,4.44,1.11,0.0,0.0,0.0
7203,BEEF,60.3,236,24.63,15.29,0.94,0.0,0.0,0.0
7204,BEEF,59.63,241,24.47,15.87,0.94,0.0,0.0,0.0
7205,BEEF,61.29,229,24.86,14.41,0.94,0.0,0.0,0.0
7206,BEEF,53.8,275,28.23,18.0,1.3,0.0,0.0,0.0
7207,BEEF,52.71,284,27.6,19.3,1.4,0.0,0.0,0.0
7208,BEEF,55.43,261,29.18,16.05,1.15,0.0,0.0,0.0
7209,BEEF,57.29,220,32.07,10.18,1.62,0.0,0.0,0.0
7210,BEEF,56.78,225,32.21,10.74,1.55,0.0,0.0,0.0
7211,BEEF,58.05,211,31.86,9.34,1.71,0.0,0.0,0.0
7212,BEEF,73.3,128,21.13,4.79,1.19,0.0,0.0,0.0
7213,BEEF,72.83,131,21.19,5.18,1.24,0.0,0.0,0.0
7214,BEEF,74.01,122,21.05,4.2,1.11,0.0,0.0,0.0
7215,BEEF,52.01,305,25.48,22.58,0.83,0.0,0.0,0.0
7216,BEEF,50.69,317,25.26,24.05,0.82,0.0,0.0,0.0
7217,BEEF,53.99,287,25.81,20.38,0.84,0.0,0.0,0.0
7218,BEEF,63.84,235,17.48,18.33,0.84,0.0,0.0,0.0
7219,BEEF,63.23,240,17.22,19.03,0.83,0.0,0.0,0.0
7220,BEEF,64.76,227,17.87,17.28,0.86,0.0,0.0,0.0
7221,BEEF,59.76,204,31.03,8.92,1.38,0.0,0.0,0.0
7222,BEEF,59.49,207,30.93,9.25,1.4,0.0,0.0,0.0
7223,BEEF,60.15,200,31.18,8.41,1.35,0.0,0.0,0.0
7224,BEEF,51.91,296,27.69,20.55,0.96,0.0,0.0,0.0
7225,BEEF,51.36,303,27.16,21.56,0.94,0.0,0.0,0.0
7226,BEEF,52.74,285,28.47,19.03,0.99,0.0,0.0,0.0
7227,BEEF,66.33,205,18.97,14.32,0.88,0.0,0.0,0.0
7228,BEEF,65.78,210,18.87,14.99,0.86,0.0,0.0,0.0
7229,BEEF,67.17,196,19.1,13.33,0.91,0.0,0.0,0.0
7230,BEEF,55.22,277,24.98,19.64,0.94,0.0,0.0,0.0
7231,BEEF,54.74,283,24.95,20.35,0.94,0.0,0.0,0.0
7232,BEEF,55.93,267,25.03,18.57,0.94,0.0,0.0,0.0
7233,BEEF,64.48,223,18.86,16.35,0.86,0.0,0.0,0.0
7234,BEEF,63.98,227,18.86,16.85,0.84,0.0,0.0,0.0
7235,BEEF,65.24,216,18.86,15.6,0.89,0.0,0.0,0.0
7236,BEEF,58.66,231,27.12,13.64,1.05,0.0,0.0,0.0
7237,BEEF,60.3,219,27.03,12.29,1.11,0.0,0.0,0.0
7238,BEEF,60.57,217,27.3,11.97,1.01,0.0,0.0,0.0
7239,BEEF,62.56,192,28.98,8.48,1.05,0.0,0.0,0.0
7240,BEEF,69.24,166,21.22,9.04,0.97,0.0,0.0,0.0
7241,BEEF,68.58,173,20.93,9.97,0.95,0.0,0.0,0.0
7242,BEEF,70.21,155,21.65,7.64,1.0,0.0,0.0,0.0
7243,BEEF,70.14,156,21.99,7.54,1.01,0.0,0.0,0.0
7244,BEEF,69.65,161,21.62,8.29,0.99,0.0,0.0,0.0
7245,BEEF,70.89,148,22.55,6.41,1.03,0.0,0.0,0.0
7246,BEEF,59.69,221,27.4,12.43,1.09,0.0,0.0,0.0
7247,BEEF,59.13,229,27.03,13.44,1.04,0.0,0.0,0.0
7248,BEEF,60.51,210,27.96,10.91,1.15,0.0,0.0,0.0
7249,BEEF,59.55,218,28.21,11.68,1.05,0.0,0.0,0.0
7250,BEEF,58.26,229,27.87,13.01,1.01,0.0,0.0,0.0
7251,BEEF,61.49,202,28.72,9.68,1.11,0.0,0.0,0.0
7252,BEEF,57.0,234,29.99,12.69,1.05,0.0,0.0,0.0
7253,BEEF,69.5,164,21.17,8.82,0.95,0.0,0.0,0.0
7254,BEEF,56.33,242,29.56,13.72,1.03,0.0,0.0,0.0
7255,BEEF,68.91,171,20.89,9.76,0.94,0.0,0.0,0.0
7256,BEEF,58.01,223,30.64,11.16,1.09,0.0,0.0,0.0
7257,BEEF,70.4,153,21.61,7.41,0.97,0.0,0.0,0.0
7258,BEEF,52.29,282,27.68,19.01,1.3,0.0,0.0,0.0
7259,BEEF,65.6,206,18.74,14.53,0.94,0.19,0.0,0.0
7260,BEEF,51.62,291,27.03,20.28,1.28,0.0,0.0,0.0
7261,BEEF,65.19,212,18.47,15.26,0.92,0.17,0.0,0.0
7262,BEEF,53.31,268,28.65,17.1,1.33,0.0,0.0,0.0
7263,BEEF,66.22,198,19.14,13.44,0.97,0.23,0.0,0.0
7264,BEEF,60.91,206,28.11,10.37,1.09,0.0,0.0,0.0
7265,BEEF,69.93,154,21.85,7.41,0.98,0.0,0.0,0.0
7266,BEEF,60.09,215,27.39,11.75,1.06,0.0,0.0,0.0
7267,BEEF,69.22,162,21.44,8.5,0.97,0.0,0.0,0.0
7268,BEEF,62.15,191,29.18,8.31,1.15,0.0,0.0,0.0
7269,BEEF,71.0,142,22.46,5.78,1.0,0.0,0.0,0.0
7270,BEEF,51.12,299,28.36,20.57,0.64,0.0,0.0,0.0
7271,BEEF,61.7,239,19.11,17.91,0.82,0.46,0.0,0.0
7272,BEEF,50.5,306,27.75,21.72,0.6,0.0,0.0,0.0
7273,BEEF,60.48,252,18.72,19.36,0.8,0.64,0.0,0.0
7274,BEEF,52.05,287,29.28,18.84,0.7,0.0,0.0,0.0
7275,BEEF,63.52,221,19.71,15.73,0.84,0.2,0.0,0.0
7276,BEEF,52.36,313,22.71,24.7,0.9,0.0,0.0,0.0
7277,BEEF,53.01,304,23.19,23.47,0.98,0.0,0.0,0.0
7278,BEEF,52.62,309,22.9,24.2,0.93,0.0,0.0,0.0
7279,BEEF,52.38,307,23.53,23.61,0.91,0.0,0.0,0.0
7280,BEEF,54.66,290,23.36,21.85,0.99,0.0,0.0,0.0
7281,BEEF,53.29,300,23.47,22.91,0.94,0.0,0.0,0.0
7282,BEEF,60.8,255,18.13,20.31,0.85,0.0,0.0,0.0
7283,BEEF,60.35,260,17.92,20.96,0.84,0.0,0.0,0.0
7284,BEEF,61.47,248,18.44,19.34,0.88,0.0,0.0,0.0
7285,BEEF,53.5,303,22.92,23.52,0.88,0.0,0.0,0.0
7286,BEEF,55.98,273,24.83,19.25,0.93,0.0,0.0,0.0
7287,BEEF,54.49,291,23.69,21.81,0.9,0.0,0.0,0.0
7288,BEEF,53.79,292,24.3,21.66,0.93,0.0,0.0,0.0
7289,BEEF,52.62,303,23.92,22.98,0.89,0.0,0.0,0.0
7290,BEEF,55.56,277,24.85,19.68,0.98,0.0,0.0,0.0
7291,BEEF,61.77,244,18.85,18.73,0.89,0.0,0.0,0.0
7292,BEEF,60.9,253,18.39,19.95,0.87,0.0,0.0,0.0
7293,BEEF,63.08,230,19.55,16.9,0.91,0.0,0.0,0.0
7294,BEEF,56.07,245,29.36,14.2,1.04,0.0,0.0,0.0
7295,BEEF,55.35,253,28.9,15.3,1.01,0.0,0.0,0.0
7296,BEEF,57.16,233,30.06,12.54,1.08,0.0,0.0,0.0
7297,BEEF,67.25,187,20.38,11.71,0.92,0.0,0.0,0.0
7298,BEEF,66.55,195,20.06,12.78,0.91,0.0,0.0,0.0
7299,BEEF,68.31,174,20.87,10.11,0.94,0.0,0.0,0.0
7300,BEEF,58.69,240,25.07,14.53,1.09,0.62,0.0,0.0
7301,BEEF,51.41,292,27.06,20.47,1.28,0.0,0.0,0.0
7302,BEEF,50.82,300,26.46,21.62,1.26,0.0,0.0,0.0
7303,BEEF,52.3,281,27.95,18.75,1.31,0.0,0.0,0.0
7304,BEEF,63.17,232,17.98,17.59,0.91,0.35,0.0,0.0
7305,BEEF,62.64,238,17.69,18.44,0.88,0.35,0.0,0.0
7306,BEEF,63.96,222,18.43,16.31,0.94,0.36,0.0,0.0
7307,BEEF,55.59,271,24.85,19.02,0.99,0.0,0.0,0.0
7308,BEEF,54.37,285,23.89,21.1,0.95,0.0,0.0,0.0
7309,BEEF,57.42,248,26.29,15.9,1.05,0.0,0.0,0.0
7310,BEEF,63.02,228,19.26,16.71,0.88,0.12,0.0,0.0
7311,BEEF,61.82,241,18.69,18.43,0.87,0.2,0.0,0.0
7312,BEEF,64.83,208,20.12,14.14,0.91,0.0,0.0,0.0
7313,BEEF,46.49,360,24.23,29.21,0.62,0.0,0.0,0.0
7314,BEEF,45.56,372,23.34,30.95,0.59,0.0,0.0,0.0
7315,BEEF,47.88,341,25.56,26.59,0.67,0.0,0.0,0.0
7316,BEEF,53.91,324,16.15,28.42,0.73,0.78,0.0,0.0
7317,BEEF,52.74,336,15.75,29.89,0.72,0.9,0.0,0.0
7318,BEEF,55.67,305,16.75,26.23,0.75,0.6,0.0,0.0
7319,BEEF,63.64,173,28.97,6.37,1.11,0.0,0.0,0.0
7320,BEEF,72.28,132,23.03,4.4,1.04,0.0,0.0,0.0
7321,BEEF,62.62,181,28.26,7.23,1.17,0.73,0.0,0.0
7322,BEEF,61.65,189,28.19,7.96,1.14,1.07,0.0,0.0
7323,BEEF,64.07,170,28.36,6.14,1.21,0.22,0.0,0.0
7324,BEEF,72.93,134,21.38,5.36,0.98,0.0,0.0,0.0
7325,BEEF,72.52,138,21.34,5.82,0.99,0.0,0.0,0.0
7326,BEEF,73.56,128,21.44,4.68,0.98,0.0,0.0,0.0
7327,BEEF,60.67,195,29.33,8.54,1.16,0.3,0.0,0.0
7328,BEEF,60.0,203,28.99,9.48,1.17,0.36,0.0,0.0
7329,BEEF,61.68,184,29.85,7.12,1.15,0.2,0.0,0.0
7330,BEEF,60.91,195,28.33,8.76,1.17,0.82,0.0,0.0
7331,BEEF,59.74,206,28.24,9.97,1.18,0.88,0.0,0.0
7332,BEEF,62.67,179,28.48,6.95,1.15,0.74,0.0,0.0
7333,BEEF,70.59,143,22.61,5.84,1.0,0.0,0.0,0.0
7334,BEEF,69.79,149,22.5,6.48,1.0,0.23,0.0,0.0
7335,BEEF,71.8,135,22.77,4.88,1.01,0.0,0.0,0.0
7336,BEEF,62.92,171,30.58,5.37,1.31,0.0,0.0,0.0
7337,BEEF,62.57,174,30.45,5.83,1.32,0.0,0.0,0.0
7338,BEEF,63.44,165,30.78,4.68,1.3,0.0,0.0,0.0
7339,BEEF,63.93,170,29.12,5.92,1.12,0.0,0.0,0.0
7340,BEEF,64.36,165,29.35,5.25,1.12,0.0,0.0,0.0
7341,BEEF,72.67,128,23.04,3.98,1.06,0.0,0.0,0.0
7342,BEEF,73.27,122,23.05,3.35,1.07,0.0,0.0,0.0
7343,BEEF,71.57,133,22.66,4.66,1.06,0.04,0.0,0.0
7344,BEEF,70.99,138,22.52,5.29,1.03,0.18,0.0,0.0
7345,BEEF,72.46,125,22.89,3.72,1.11,0.0,0.0,0.0
7346,BEEF,57.18,246,24.66,15.7,0.94,1.53,0.0,0.0
7347,BEEF,55.8,259,24.24,17.21,0.95,1.81,0.0,0.0
7348,BEEF,59.26,226,25.28,13.43,0.93,1.1,0.0,0.0
7349,BEEF,67.31,180,19.7,10.6,0.89,1.51,0.0,0.0
7350,BEEF,66.5,187,19.46,11.4,0.89,1.75,0.0,0.0
7351,BEEF,68.53,169,20.05,9.39,0.88,1.15,0.0,0.0
7352,BEEF,60.74,199,28.77,9.2,1.12,0.17,0.0,0.0
7353,BEEF,59.75,208,28.35,10.26,1.12,0.51,0.0,0.0
7354,BEEF,62.22,186,29.39,7.61,1.12,0.0,0.0,0.0
7355,BEEF,63.52,178,28.15,7.31,1.09,0.0,0.0,0.0
7356,BEEF,62.52,188,28.0,8.42,1.07,0.0,0.0,0.0
7357,BEEF,65.02,164,28.37,5.65,1.12,0.0,0.0,0.0
7358,BEEF,57.1,242,26.0,15.0,1.1,0.8,0.0,0.0
7359,BEEF,57.2,238,26.3,14.3,1.1,1.1,0.0,0.0
7360,BEEF,56.9,249,25.5,16.1,1.1,0.4,0.0,0.0
7361,BEEF,67.4,191,19.9,12.4,0.9,0.0,0.0,0.0
7362,BEEF,66.5,199,19.7,13.4,0.9,0.0,0.0,0.0
